Timestamp,Speed,SOC,Pack_Voltage,Pack_Current,Motor_Temp,Controller_Temp
1761957166.42,61.99,73.76,52.37,36.13,30.1,54.4
1761957166.96,61.05,71.65,52.15,45.60,30.5,53.3
1761957167.49,59.33,69.58,51.93,52.24,31.3,52.3
1761957168.02,56.93,67.57,51.72,54.97,32.4,51.3
1761957168.54,54.03,65.66,51.52,53.27,33.8,50.3
1761957169.08,50.83,63.84,51.33,47.46,35.5,49.4
1761957169.61,47.56,62.15,51.15,38.58,37.5,48.6
1761957170.13,44.43,60.60,50.99,28.16,39.6,47.8
1761957170.66,41.67,59.21,50.84,18.08,41.9,47.1
1761957171.19,39.47,58.00,50.72,10.10,44.3,46.5
1761957171.72,37.98,56.98,50.61,5.64,46.7,46.0
1761957172.25,37.32,56.17,50.52,5.48,49.0,45.6
1761957172.78,37.51,55.56,50.46,9.68,51.2,45.3
1761957173.31,38.56,55.17,50.42,17.49,53.3,45.1
1761957173.84,40.39,55.01,50.40,27.49,55.2,45.0
1761957174.37,42.86,55.06,50.41,37.92,56.8,45.0
1761957174.90,45.82,55.35,50.44,46.99,58.1,45.2
1761957175.44,49.06,55.85,50.49,53.05,59.1,45.4
1761957175.97,52.34,56.58,50.57,54.99,59.7,45.8
1761957176.50,55.43,57.50,50.66,52.50,60.0,46.3
1761957177.03,58.12,58.62,50.78,46.02,59.9,46.8
1761957177.55,60.22,59.93,50.92,36.75,59.4,47.5
1761957178.08,61.59,61.40,51.07,26.23,58.5,48.2
1761957178.61,62.13,63.03,51.24,16.40,57.3,49.0
1761957179.14,61.81,64.79,51.43,8.98,55.8,49.9
1761957179.67,60.64,66.66,51.62,5.28,54.0,50.8
1761957180.20,58.71,68.63,51.83,5.93,52.0,51.8
1761957180.73,56.15,70.68,52.05,10.88,49.8,52.8
1761957181.26,53.13,72.77,52.27,19.21,47.5,53.9
1761957181.79,49.88,74.89,52.49,29.44,45.1,54.9
1761957182.32,46.63,77.00,52.71,39.74,42.8,56.0
1761957182.85,43.59,79.09,52.93,48.35,40.4,57.0
1761957183.38,40.97,81.14,53.14,53.71,38.2,58.1
1761957183.91,38.96,83.12,53.35,54.87,36.2,59.1
